"Entry.Name","Entry","Organism","Org","Scientific_Name","Gene","Protein.names","gpcr","taxa","Accession","Rename","Org_Uq","RL_Entry_Name"
"A0A0B4KHG3_DROME","A0A0B4KHG3","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","A0A0B4KHG3","5-hydroxytryptamine (Serotonin) receptor 7, isoform B","PF00001",2759,"PF00001","Rho","DROME","A0A0B4KHG3_DROME"
"A0A0N9NVT6_DANRE","A0A0N9NVT6","Danio rerio (Zebrafish) (Brachydanio rerio)","DANRE","Danio rerio","A0A0N9NVT6","Rhodopsin","PF00001",2759,"PF00001","Rho","DANRE","A0A0N9NVT6_DANRE"
"A0A0N9NXZ8_DANRE","A0A0N9NXZ8","Danio rerio (Zebrafish) (Brachydanio rerio)","DANRE","Danio rerio","A0A0N9NXZ8","Rhodopsin","PF00001",2759,"PF00001","Rho","DANRE","A0A0N9NXZ8_DANRE"
"A0N0Q0_HUMAN","A0N0Q0","Homo sapiens (Human)","HUMAN","Homo sapiens","A0N0Q0","Chemokine (C-C motif) receptor 7 (cDNA FLJ45911 fis, clone PEBLM2005615, highly similar to C-C chemokine receptor type 7)","PF00001",2759,"PF00001","Rho","HUMAN","A0N0Q0_HUMAN"
"A4D1Q0_HUMAN","A4D1Q0","Homo sapiens (Human)","HUMAN","Homo sapiens","A4D1Q0","Muscarinic acetylcholine receptor","PF00001",2759,"PF00001","Rho","HUMAN","A4D1Q0_HUMAN"
"E1JI27_DROME","E1JI27","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","E1JI27","Octopamine-Tyramine receptor, isoform B","PF00001",2759,"PF00001","Rho","DROME","E1JI27_DROME"
"G5ECV2_CAEEL","G5ECV2","Caenorhabditis elegans","CAEEL","Caenorhabditis elegans","G5ECV2","G-protein coupled receptors family 1 profile domain-containing protein (Serotonin receptor)","PF00001",2759,"PF00001","Rho","CAEEL","G5ECV2_CAEEL"
"Q0VAB0_HUMAN","Q0VAB0","Homo sapiens (Human)","HUMAN","Homo sapiens","Q0VAB0","Thromboxane A2 receptor (Prostanoid TP receptor)","PF00001",2759,"PF00001","Rho","HUMAN","Q0VAB0_HUMAN"
"Q53XZ3_HUMAN","Q53XZ3","Homo sapiens (Human)","HUMAN","Homo sapiens","Q53XZ3","Muscarinic acetylcholine receptor","PF00001",2759,"PF00001","Rho","HUMAN","Q53XZ3_HUMAN"
"Q95RY6_DROME","Q95RY6","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q95RY6","HL07802p","PF00001",2759,"PF00001","Rho","DROME","Q95RY6_DROME"
"Q95T55_DROME","Q95T55","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q95T55","GH21228p","PF00001",2759,"PF00001","Rho","DROME","Q95T55_DROME"
"Q9DGI1_CHICK","Q9DGI1","Gallus gallus (Chicken)","CHICK","Gallus gallus","Q9DGI1","Chemokine receptor CXCR4","PF00001",2759,"PF00001","Rho","CHICK","Q9DGI1_CHICK"
"Q9VDC4_DROME","Q9VDC4","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q9VDC4","Thyrotropin-releasing hormone receptor (Thyroliberin receptor)","PF00001",2759,"PF00001","Rho","DROME","Q9VDC4_DROME"
"A0A0A8K8C7_HUMAN","A0A0A8K8C7","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A0A8K8C7","G protein-coupled receptor 49 (Leucine-rich repeat-containing G protein-coupled receptor 5, isoform CRA_b)","PF00001",2759,"PF00001","Rho","HUMAN","A0A0A8K8C7_HUMAN"
"A0A0B4K601_DROME","A0A0B4K601","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","A0A0B4K601","Neuropeptide F receptor, isoform D","PF00001",2759,"PF00001","Rho","DROME","A0A0B4K601_DROME"
"A0A0B4K6H0_DROME","A0A0B4K6H0","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","A0A0B4K6H0","Dopamine 1-like receptor 1, isoform D","PF00001",2759,"PF00001","Rho","DROME","A0A0B4K6H0_DROME"
"A0A0B4K6K3_DROME","A0A0B4K6K3","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","A0A0B4K6K3","Neuropeptide F receptor, isoform C","PF00001",2759,"PF00001","Rho","DROME","A0A0B4K6K3_DROME"
"A0A126GUT9_DROME","A0A126GUT9","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","A0A126GUT9","Octopamine beta2 receptor, isoform G","PF00001",2759,"PF00001","Rho","DROME","A0A126GUT9_DROME"
"A0A1L8G4H9_XENLA","A0A1L8G4H9","Xenopus laevis (African clawed frog)","XENLA","Xenopus laevis","A0A1L8G4H9","Type-1 angiotensin II receptor","PF00001",2759,"PF00001","Rho","XENLA","A0A1L8G4H9_XENLA"
"A0A1L8GB00_XENLA","A0A1L8GB00","Xenopus laevis (African clawed frog)","XENLA","Xenopus laevis","A0A1L8GB00","Type-1 angiotensin II receptor","PF00001",2759,"PF00001","Rho","XENLA","A0A1L8GB00_XENLA"
"A0A2D3FAF9_HUMAN","A0A2D3FAF9","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A2D3FAF9","5-hydroxytryptamine receptor 4 (Serotonin receptor 4)","PF00001",2759,"PF00001","Rho","HUMAN","A0A2D3FAF9_HUMAN"
"A0A6H0W9J6_HUMAN","A0A6H0W9J6","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A6H0W9J6","Nociceptin receptor (Kappa-type 3 opioid receptor) (Orphanin FQ receptor)","PF00001",2759,"PF00001","Rho","HUMAN","A0A6H0W9J6_HUMAN"
"A0A6H0WB77_HUMAN","A0A6H0WB77","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A6H0WB77","Nociceptin receptor (Kappa-type 3 opioid receptor) (Orphanin FQ receptor)","PF00001",2759,"PF00001","Rho","HUMAN","A0A6H0WB77_HUMAN"
"A0A6H0WCN5_HUMAN","A0A6H0WCN5","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A6H0WCN5","Kappa-type opioid receptor","PF00001",2759,"PF00001","Rho","HUMAN","A0A6H0WCN5_HUMAN"
"A0A6H0WCP3_HUMAN","A0A6H0WCP3","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A6H0WCP3","Mu-type opioid receptor","PF00001",2759,"PF00001","Rho","HUMAN","A0A6H0WCP3_HUMAN"
"A0A6H0WF25_HUMAN","A0A6H0WF25","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A6H0WF25","Nociceptin receptor (Kappa-type 3 opioid receptor) (Orphanin FQ receptor)","PF00001",2759,"PF00001","Rho","HUMAN","A0A6H0WF25_HUMAN"
"A0A7P0PKG8_HUMAN","A0A7P0PKG8","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A7P0PKG8","5-hydroxytryptamine receptor 2A (5-HT-2) (Serotonin receptor 2A)","PF00001",2759,"PF00001","Rho","HUMAN","A0A7P0PKG8_HUMAN"
"A0N0N3_HUMAN","A0N0N3","Homo sapiens (Human)","HUMAN","Homo sapiens","A0N0N3","C-X-C chemokine receptor type 6 (G-protein coupled receptor bonzo)","PF00001",2759,"PF00001","Rho","HUMAN","A0N0N3_HUMAN"
"A0N0Q1_HUMAN","A0N0Q1","Homo sapiens (Human)","HUMAN","Homo sapiens","A0N0Q1","Chemokine (C-C motif) receptor 4 (cDNA FLJ75821, highly similar to Homo sapiens chemokine (C-C motif) receptor 4 (CCR4), mRNA)","PF00001",2759,"PF00001","Rho","HUMAN","A0N0Q1_HUMAN"
"A8K2H7_HUMAN","A8K2H7","Homo sapiens (Human)","HUMAN","Homo sapiens","A8K2H7","C3a anaphylatoxin chemotactic receptor","PF00001",2759,"PF00001","Rho","HUMAN","A8K2H7_HUMAN"
"A8KAG8_HUMAN","A8KAG8","Homo sapiens (Human)","HUMAN","Homo sapiens","A8KAG8","Beta-3 adrenergic receptor (Beta-3 adrenoreceptor)","PF00001",2759,"PF00001","Rho","HUMAN","A8KAG8_HUMAN"
"B0ZBE0_HUMAN","B0ZBE0","Homo sapiens (Human)","HUMAN","Homo sapiens","B0ZBE0","Alpha-1D adrenergic receptor (Alpha-1D adrenoreceptor)","PF00001",2759,"PF00001","Rho","HUMAN","B0ZBE0_HUMAN"
"B2GP06_DANRE","B2GP06","Danio rerio (Zebrafish) (Brachydanio rerio)","DANRE","Danio rerio","B2GP06","Rhodopsin","PF00001",2759,"PF00001","Rho","DANRE","B2GP06_DANRE"
"B3VRB0_HUMAN","B3VRB0","Homo sapiens (Human)","HUMAN","Homo sapiens","B3VRB0","5-hydroxytryptamine receptor 2A (Serotonin receptor 2A)","PF00001",2759,"PF00001","Rho","HUMAN","B3VRB0_HUMAN"
"B3VRC0_HUMAN","B3VRC0","Homo sapiens (Human)","HUMAN","Homo sapiens","B3VRC0","5-hydroxytryptamine receptor 2A (Serotonin receptor 2A)","PF00001",2759,"PF00001","Rho","HUMAN","B3VRC0_HUMAN"
"B3VRC5_HUMAN","B3VRC5","Homo sapiens (Human)","HUMAN","Homo sapiens","B3VRC5","5-hydroxytryptamine receptor 2B (Serotonin receptor 2B)","PF00001",2759,"PF00001","Rho","HUMAN","B3VRC5_HUMAN"
"C3XQS6_BRAFL","C3XQS6","Branchiostoma floridae (Florida lancelet) (Amphioxus)","BRAFL","Branchiostoma floridae","C3XQS6","Histamine H1 receptor","PF00001",2759,"PF00001","Rho","BRAFL","C3XQS6_BRAFL"
"C6KYL4_HUMAN","C6KYL4","Homo sapiens (Human)","HUMAN","Homo sapiens","C6KYL4","Free fatty acid receptor 2","PF00001",2759,"PF00001","Rho","HUMAN","C6KYL4_HUMAN"
"C7E9I8_HUMAN","C7E9I8","Homo sapiens (Human)","HUMAN","Homo sapiens","C7E9I8","Mu-type opioid receptor","PF00001",2759,"PF00001","Rho","HUMAN","C7E9I8_HUMAN"
"C9J1J7_HUMAN","C9J1J7","Homo sapiens (Human)","HUMAN","Homo sapiens","C9J1J7","C-X-C chemokine receptor type 2 (High affinity interleukin-8 receptor B)","PF00001",2759,"PF00001","Rho","HUMAN","C9J1J7_HUMAN"
"C9JW47_HUMAN","C9JW47","Homo sapiens (Human)","HUMAN","Homo sapiens","C9JW47","C-X-C chemokine receptor type 2 (High affinity interleukin-8 receptor B)","PF00001",2759,"PF00001","Rho","HUMAN","C9JW47_HUMAN"
"D4P6H3_CHICK","D4P6H3","Gallus gallus (Chicken)","CHICK","Gallus gallus","D4P6H3","D(3) dopamine receptor (Dopamine D3 receptor)","PF00001",2759,"PF00001","Rho","CHICK","D4P6H3_CHICK"
"E1JIT6_DROME","E1JIT6","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","E1JIT6","Octopamine beta1 receptor, isoform C","PF00001",2759,"PF00001","Rho","DROME","E1JIT6_DROME"
"G8XRH5_HUMAN","G8XRH5","Homo sapiens (Human)","HUMAN","Homo sapiens","G8XRH5","Mu-type opioid receptor","PF00001",2759,"PF00001","Rho","HUMAN","G8XRH5_HUMAN"
"H9GEI0_ANOCA","H9GEI0","Anolis carolinensis (Green anole) (American chameleon)","ANOCA","Anolis carolinensis","H9GEI0","Opsin 1, short wave sensitive","PF00001",2759,"PF00001","Rho","ANOCA","H9GEI0_ANOCA"
"M3XL82_LATCH","M3XL82","Latimeria chalumnae (Coelacanth)","LATCH","Latimeria chalumnae","M3XL82","Muscarinic acetylcholine receptor","PF00001",2759,"PF00001","Rho","LATCH","M3XL82_LATCH"
"M9NGQ9_DROME","M9NGQ9","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","M9NGQ9","Trapped in endoderm 1, isoform B","PF00001",2759,"PF00001","Rho","DROME","M9NGQ9_DROME"
"Q1JUL4_HUMAN","Q1JUL4","Homo sapiens (Human)","HUMAN","Homo sapiens","Q1JUL4","Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1)","PF00001",2759,"PF00001","Rho","HUMAN","Q1JUL4_HUMAN"
"Q53PC4_HUMAN","Q53PC4","Homo sapiens (Human)","HUMAN","Homo sapiens","Q53PC4","C-X-C chemokine receptor type 2 (High affinity interleukin-8 receptor B)","PF00001",2759,"PF00001","Rho","HUMAN","Q53PC4_HUMAN"
"Q53YY0_HUMAN","Q53YY0","Homo sapiens (Human)","HUMAN","Homo sapiens","Q53YY0","Type-1 angiotensin II receptor","PF00001",2759,"PF00001","Rho","HUMAN","Q53YY0_HUMAN"
"Q549F5_ANOCA","Q549F5","Anolis carolinensis (Green anole) (American chameleon)","ANOCA","Anolis carolinensis","Q549F5","Rhodopsin","PF00001",2759,"PF00001","Rho","ANOCA","Q549F5_ANOCA"
"Q5ZGX3_HUMAN","Q5ZGX3","Homo sapiens (Human)","HUMAN","Homo sapiens","Q5ZGX3","5-hydroxytryptamine receptor 1A (Serotonin receptor 1A)","PF00001",2759,"PF00001","Rho","HUMAN","Q5ZGX3_HUMAN"
"Q6UVH2_HUMAN","Q6UVH2","Homo sapiens (Human)","HUMAN","Homo sapiens","Q6UVH2","Type-2 angiotensin II receptor (Angiotensin II type-2 receptor)","PF00001",2759,"PF00001","Rho","HUMAN","Q6UVH2_HUMAN"
"Q71V90_HUMAN","Q71V90","Homo sapiens (Human)","HUMAN","Homo sapiens","Q71V90","Mu-type opioid receptor","PF00001",2759,"PF00001","Rho","HUMAN","Q71V90_HUMAN"
"Q8MTX9_DROME","Q8MTX9","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q8MTX9","Allatostatin C/drostatin C receptor 1","PF00001",2759,"PF00001","Rho","DROME","Q8MTX9_DROME"
"Q8MU51_DROME","Q8MU51","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q8MU51","Allatostatin C/drostatin C receptor 1","PF00001",2759,"PF00001","Rho","DROME","Q8MU51_DROME"
"Q8NI50_HUMAN","Q8NI50","Homo sapiens (Human)","HUMAN","Homo sapiens","Q8NI50","Histamine H3 receptor isoform 5","PF00001",2759,"PF00001","Rho","HUMAN","Q8NI50_HUMAN"
"Q96RH0_HUMAN","Q96RH0","Homo sapiens (Human)","HUMAN","Homo sapiens","Q96RH0","Muscarinic acetylcholine receptor","PF00001",2759,"PF00001","Rho","HUMAN","Q96RH0_HUMAN"
"Q9BYZ0_HUMAN","Q9BYZ0","Homo sapiens (Human)","HUMAN","Homo sapiens","Q9BYZ0","Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor)","PF00001",2759,"PF00001","Rho","HUMAN","Q9BYZ0_HUMAN"
"Q9P2Q9_HUMAN","Q9P2Q9","Homo sapiens (Human)","HUMAN","Homo sapiens","Q9P2Q9","5-hydroxytryptamine receptor 2A (Serotonin receptor 2A)","PF00001",2759,"PF00001","Rho","HUMAN","Q9P2Q9_HUMAN"
"R7UUK7_CAPTE","R7UUK7","Capitella teleta (Polychaete worm)","CAPTE","Capitella teleta","R7UUK7","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","CAPTE","R7UUK7_CAPTE"
"S4RSF9_PETMA","S4RSF9","Petromyzon marinus (Sea lamprey)","PETMA","Petromyzon marinus","S4RSF9","Muscarinic acetylcholine receptor","PF00001",2759,"PF00001","Rho","PETMA","S4RSF9_PETMA"
"W8W3P4_HUMAN","W8W3P4","Homo sapiens (Human)","HUMAN","Homo sapiens","W8W3P4","Mas-related G protein-coupled receptor A","PF00001",2759,"PF00001","Rho","HUMAN","W8W3P4_HUMAN"
"X5D2G4_HUMAN","X5D2G4","Homo sapiens (Human)","HUMAN","Homo sapiens","X5D2G4","D(3) dopamine receptor (Dopamine D3 receptor)","PF00001",2759,"PF00001","Rho","HUMAN","X5D2G4_HUMAN"
"A0A061AKJ8_CAEEL","A0A061AKJ8","Caenorhabditis elegans","CAEEL","Caenorhabditis elegans","A0A061AKJ8","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","CAEEL","A0A061AKJ8_CAEEL"
"A0A087WZJ9_HUMAN","A0A087WZJ9","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A087WZJ9","5-hydroxytryptamine receptor 2A (Serotonin receptor 2A)","PF00001",2759,"PF00001","Rho","HUMAN","A0A087WZJ9_HUMAN"
"A0A090N8Z1_HUMAN","A0A090N8Z1","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A090N8Z1","G protein-coupled receptor 154","PF00001",2759,"PF00001","Rho","HUMAN","A0A090N8Z1_HUMAN"
"A0A0A0MQ60_CHICK","A0A0A0MQ60","Gallus gallus (Chicken)","CHICK","Gallus gallus","A0A0A0MQ60","Melatonin receptor 1B","PF00001",2759,"PF00001","Rho","CHICK","A0A0A0MQ60_CHICK"
"A0A0K0PUW7_HUMAN","A0A0K0PUW7","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A0K0PUW7","G-protein coupled receptor","PF00001",2759,"PF00001","Rho","HUMAN","A0A0K0PUW7_HUMAN"
"A0A0N9N7J4_DANRE","A0A0N9N7J4","Danio rerio (Zebrafish) (Brachydanio rerio)","DANRE","Danio rerio","A0A0N9N7J4","Long-wavelength-sensitive-1 cone opsin","PF00001",2759,"PF00001","Rho","DANRE","A0A0N9N7J4_DANRE"
"A0A0S2Z3W9_HUMAN","A0A0S2Z3W9","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A0S2Z3W9","Chemokine receptor 3 isoform 2","PF00001",2759,"PF00001","Rho","HUMAN","A0A0S2Z3W9_HUMAN"
"A0A126GVG5_HUMAN","A0A126GVG5","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A126GVG5","Olfactory receptor","PF00001",2759,"PF00001","Rho","HUMAN","A0A126GVG5_HUMAN"
"A0A140T9K6_HUMAN","A0A140T9K6","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A140T9K6","Atypical chemokine receptor 3","PF00001",2759,"PF00001","Rho","HUMAN","A0A140T9K6_HUMAN"
"A0A1B0GTK7_HUMAN","A0A1B0GTK7","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A1B0GTK7","Histamine H2 receptor (Gastric receptor I)","PF00001",2759,"PF00001","Rho","HUMAN","A0A1B0GTK7_HUMAN"
"A0A1B0RYB9_HUMAN","A0A1B0RYB9","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A1B0RYB9","Thyrotropin receptor","PF00001",2759,"PF00001","Rho","HUMAN","A0A1B0RYB9_HUMAN"
"A0A1L8F369_XENLA","A0A1L8F369","Xenopus laevis (African clawed frog)","XENLA","Xenopus laevis","A0A1L8F369","5-hydroxytryptamine receptor 2A isoform X2","PF00001",2759,"PF00001","Rho","XENLA","A0A1L8F369_XENLA"
"A0A1L8FG13_XENLA","A0A1L8FG13","Xenopus laevis (African clawed frog)","XENLA","Xenopus laevis","A0A1L8FG13","D(2) dopamine receptor B","PF00001",2759,"PF00001","Rho","XENLA","A0A1L8FG13_XENLA"
"A0A1L8FYR9_XENLA","A0A1L8FYR9","Xenopus laevis (African clawed frog)","XENLA","Xenopus laevis","A0A1L8FYR9","Histamine H3 receptor","PF00001",2759,"PF00001","Rho","XENLA","A0A1L8FYR9_XENLA"
"A0A1L8GXP1_XENLA","A0A1L8GXP1","Xenopus laevis (African clawed frog)","XENLA","Xenopus laevis","A0A1L8GXP1","D(1A) dopamine receptor","PF00001",2759,"PF00001","Rho","XENLA","A0A1L8GXP1_XENLA"
"A0A1P0IZS9_PETMA","A0A1P0IZS9","Petromyzon marinus (Sea lamprey)","PETMA","Petromyzon marinus","A0A1P0IZS9","Vertebrate ancient long opsin b","PF00001",2759,"PF00001","Rho","PETMA","A0A1P0IZS9_PETMA"
"A0A1P7ZNS0_XENLA","A0A1P7ZNS0","Xenopus laevis (African clawed frog)","XENLA","Xenopus laevis","A0A1P7ZNS0","Endothelin-1 receptor (Endothelin receptor type A)","PF00001",2759,"PF00001","Rho","XENLA","A0A1P7ZNS0_XENLA"
"A0A1S6K7T6_CHICK","A0A1S6K7T6","Gallus gallus gallus","CHICK","Gallus gallus","A0A1S6K7T6","GPR1-vc","PF00001",2759,"PF00001","Rho","CHICK","A0A1S6K7T6_CHICK"
"A0A1U9X857_HUMAN","A0A1U9X857","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A1U9X857","Olfactory receptor","PF00001",2759,"PF00001","Rho","HUMAN","A0A1U9X857_HUMAN"
"A0A1X7SFJ6_AMPQE","A0A1X7SFJ6","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7SFJ6","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7SFJ6_AMPQE"
"A0A1X7SWH3_AMPQE","A0A1X7SWH3","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7SWH3","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7SWH3_AMPQE"
"A0A1X7T7E1_AMPQE","A0A1X7T7E1","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7T7E1","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7T7E1_AMPQE"
"A0A1X7TAF4_AMPQE","A0A1X7TAF4","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7TAF4","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7TAF4_AMPQE"
"A0A1X7TAS5_AMPQE","A0A1X7TAS5","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7TAS5","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7TAS5_AMPQE"
"A0A1X7TCE5_AMPQE","A0A1X7TCE5","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7TCE5","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7TCE5_AMPQE"
"A0A1X7TT91_AMPQE","A0A1X7TT91","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7TT91","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7TT91_AMPQE"
"A0A1X7U7X6_AMPQE","A0A1X7U7X6","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7U7X6","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7U7X6_AMPQE"
"A0A1X7UCE8_AMPQE","A0A1X7UCE8","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7UCE8","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7UCE8_AMPQE"
"A0A1X7VN69_AMPQE","A0A1X7VN69","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7VN69","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7VN69_AMPQE"
"A0A1X7VU26_AMPQE","A0A1X7VU26","Amphimedon queenslandica (Sponge)","AMPQE","Amphimedon queenslandica","A0A1X7VU26","G-protein coupled receptors family 1 profile domain-containing protein","PF00001",2759,"PF00001","Rho","AMPQE","A0A1X7VU26_AMPQE"
"A0A2H4KKS0_BRAFL","A0A2H4KKS0","Branchiostoma floridae (Florida lancelet) (Amphioxus)","BRAFL","Branchiostoma floridae","A0A2H4KKS0","C-type opsin","PF00001",2759,"PF00001","Rho","BRAFL","A0A2H4KKS0_BRAFL"
"A0A2R8YGF7_HUMAN","A0A2R8YGF7","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A2R8YGF7","Endothelin receptor type B (Endothelin receptor non-selective type)","PF00001",2759,"PF00001","Rho","HUMAN","A0A2R8YGF7_HUMAN"
"A0A2Z5FN34_CAPTE","A0A2Z5FN34","Capitella teleta (Polychaete worm)","CAPTE","Capitella teleta","A0A2Z5FN34","R-opsin1","PF00001",2759,"PF00001","Rho","CAPTE","A0A2Z5FN34_CAPTE"
"A0A346G5W5_HUMAN","A0A346G5W5","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A346G5W5","Opioid receptor delta 1 isoform DOR-1E","PF00001",2759,"PF00001","Rho","HUMAN","A0A346G5W5_HUMAN"
"A0A346G5W6_HUMAN","A0A346G5W6","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A346G5W6","Opioid receptor delta 1 isoform DOR-1B","PF00001",2759,"PF00001","Rho","HUMAN","A0A346G5W6_HUMAN"
"A0A3B3IT50_HUMAN","A0A3B3IT50","Homo sapiens (Human)","HUMAN","Homo sapiens","A0A3B3IT50","Beta-3 adrenergic receptor (Beta-3 adrenoreceptor)","PF00001",2759,"PF00001","Rho","HUMAN","A0A3B3IT50_HUMAN"
