Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	Taxonomic lineage	Organism (ID)
A0A0V0RQV4	unreviewed	A0A0V0RQV4_9BILA	Oxysterol-binding protein	OSBPL8 T07_10974	Trichinella nelsoni	1322		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6336
A0A0V0RQW3	unreviewed	A0A0V0RQW3_9BILA	Oxysterol-binding protein	OSBPL8 T07_10974	Trichinella nelsoni	1259	A0A0V0RQW3;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6336
A0A0V0RRL0	unreviewed	A0A0V0RRL0_9BILA	Oxysterol-binding protein	OSBPL8 T07_10974	Trichinella nelsoni	1241	A0A0V0RRL0;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6336
A0A0V0U8S6	unreviewed	A0A0V0U8S6_9BILA	Oxysterol-binding protein	OSBPL8 T05_13876	Trichinella murrelli	1224	A0A0V0U8S6;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	144512
A0A0V0WRL5	unreviewed	A0A0V0WRL5_9BILA	Oxysterol-binding protein	OSBPL8 T06_4626	Trichinella sp. T6	1222	A0A0V0WRL5;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus), unclassified Trichinella (no rank)	92179
A0A0V0XGR1	unreviewed	A0A0V0XGR1_TRIPS	Oxysterol-binding protein	OSBPL8 T4A_8434 T4E_6576	Trichinella pseudospiralis (Parasitic roundworm)	1209	A0A0V0XGR1;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6337
A0A0V1A6A5	unreviewed	A0A0V1A6A5_9BILA	Oxysterol-binding protein	OSBPL8 T12_10289	Trichinella patagoniensis	1184	A0A0V1A6A5;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	990121
A0A0V1CV55	unreviewed	A0A0V1CV55_TRIBR	Oxysterol-binding protein	OSBPL8 T03_9940	Trichinella britovi (Parasitic roundworm)	1232	A0A0V1CV55;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	45882
A0A0V1EQR0	unreviewed	A0A0V1EQR0_TRIPS	Oxysterol-binding protein	OSBPL8 T4A_8434	Trichinella pseudospiralis (Parasitic roundworm)	1232	A0A0V1EQR0;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6337
A0A0V1G1D2	unreviewed	A0A0V1G1D2_TRIPS	Oxysterol-binding protein	OSBPL8 T4D_12321	Trichinella pseudospiralis (Parasitic roundworm)	1209	A0A0V1G1D2;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6337
A0A0V1HR43	unreviewed	A0A0V1HR43_9BILA	Oxysterol-binding protein	OSBPL8 T11_17222	Trichinella zimbabwensis	1213	A0A0V1HR43;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	268475
A0A0V1JKS9	unreviewed	A0A0V1JKS9_TRIPS	Oxysterol-binding protein	OSBPL8 T4B_15384 T4C_10766	Trichinella pseudospiralis (Parasitic roundworm)	1209	A0A0V1JKS9;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6337
A0A0V1LR09	unreviewed	A0A0V1LR09_9BILA	Oxysterol-binding protein	OSBPL8 T02_14739	Trichinella nativa	1224	A0A0V1LR09;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6335
A0A0V1LRX6	unreviewed	A0A0V1LRX6_9BILA	Oxysterol-binding protein	OSBPL8 T02_14739	Trichinella nativa	1186	A0A0V1LRX6;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6335
A0A0V1N009	unreviewed	A0A0V1N009_9BILA	Oxysterol-binding protein	gpr89 T10_4837	Trichinella papuae	1210	A0A0V1N009;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	268474
A0A0V1N0B3	unreviewed	A0A0V1N0B3_9BILA	Oxysterol-binding protein	gpr89 T10_4837	Trichinella papuae	1198	A0A0V1N0B3;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	268474
A0A0V1NZ73	unreviewed	A0A0V1NZ73_9BILA	Oxysterol-binding protein	OSBPL8 T08_14334	Trichinella sp. T8	1232	A0A0V1NZ73;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus), unclassified Trichinella (no rank)	92180
A0A158NDK8	unreviewed	A0A158NDK8_ATTCE	Abscisic acid G-protein coupled receptor-like domain-containing protein	105618698	Atta cephalotes (Leafcutter ant)	452	A0A158NDK8;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Hymenoptera (order), Apocrita (suborder), Aculeata (infraorder), Formicoidea (superfamily), Formicidae (family), Myrmicinae (subfamily), Attini (tribe), Atta (genus)	12957
A0A182K4S8	unreviewed	A0A182K4S8_9DIPT	Homeobox domain-containing protein		Anopheles christyi	1032	A0A182K4S8;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Nematocera (suborder), Culicomorpha (infraorder), Culicoidea (superfamily), Culicidae (family), Anophelinae (subfamily), Anopheles (genus), Cellia (subgenus), Pyretophorus (clade)	43041
A0A182N342	unreviewed	A0A182N342_9DIPT	Homeobox domain-containing protein		Anopheles dirus	793	A0A182N342;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Nematocera (suborder), Culicomorpha (infraorder), Culicoidea (superfamily), Culicidae (family), Anophelinae (subfamily), Anopheles (genus), Cellia (subgenus), Neomyzomyia (clade), leucosphyrus group (no rank), leucosphyrus subgroup (no rank), dirus species complex (no rank)	7168
A0A182P346	unreviewed	A0A182P346_9DIPT	Homeobox domain-containing protein		Anopheles epiroticus	1047	A0A182P346;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Nematocera (suborder), Culicomorpha (infraorder), Culicoidea (superfamily), Culicidae (family), Anophelinae (subfamily), Anopheles (genus), Cellia (subgenus), Pyretophorus (clade), sundaicus species complex (no rank)	199890
A0A182WR70	unreviewed	A0A182WR70_ANOQN	Homeobox domain-containing protein		Anopheles quadriannulatus (Mosquito)	811	A0A182WR70;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Nematocera (suborder), Culicomorpha (infraorder), Culicoidea (superfamily), Culicidae (family), Anophelinae (subfamily), Anopheles (genus), Cellia (subgenus), Pyretophorus (clade), gambiae species complex (no rank)	34691
A0A1D1UWM2	unreviewed	A0A1D1UWM2_RAMVA	Abscisic acid G-protein coupled receptor-like domain-containing protein	RvY_02950-1 RvY_02950.1 RvY_02950	Ramazzottius varieornatus (Water bear) (Tardigrade)	464	A0A1D1UWM2;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Tardigrada (phylum), Eutardigrada (class), Parachela (order), Hypsibioidea (superfamily), Ramazzottiidae (family), Ramazzottius (genus)	947166
A0A1E3QVR0	unreviewed	A0A1E3QVR0_9ASCO	Acetolactate synthase (EC 2.2.1.6)	BABINDRAFT_6892	Babjeviella inositovora NRRL Y-12698	1202	A0A1E3QVR0;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), CUG-Ser1 clade (clade), CUG-Ser1 clade incertae sedis (no rank), Babjeviella (genus), Babjeviella inositovora (species)	984486
A0A1Y3EPD0	unreviewed	A0A1Y3EPD0_9BILA	Oxysterol-binding protein	D917_07467	Trichinella nativa	1131	A0A1Y3EPD0;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichinellidae (family), Trichinella (genus)	6335
A0A2K5D0P4	unreviewed	A0A2K5D0P4_AOTNA	Abscisic acid G-protein coupled receptor-like domain-containing protein		Aotus nancymaae (Ma's night monkey)	455	A0A2K5D0P4;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Platyrrhini (parvorder), Aotidae (family), Aotus (genus)	37293
A0A2K5R2M1	unreviewed	A0A2K5R2M1_CEBIM	Abscisic acid G-protein coupled receptor-like domain-containing protein		Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	455	A0A2K5R2M1;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Platyrrhini (parvorder), Cebidae (family), Cebinae (subfamily), Cebus (genus)	2715852
A0A384DGQ2	unreviewed	A0A384DGQ2_URSMA	Golgi pH regulator	GPR89A LOC103678400	Ursus maritimus (Polar bear) (Thalarctos maritimus)	455		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Carnivora (order), Caniformia (suborder), Ursidae (family), Ursus (genus)	29073
A0A5C5FX26	unreviewed	A0A5C5FX26_9BASI	Probable beta-glucosidase G (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase G) (Cellobiase G) (Gentiobiase G)	DMC30DRAFT_451293	Rhodotorula diobovata	2555		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Sporidiobolales (order), Sporidiobolaceae (family), Rhodotorula (genus)	5288
A0A6J8CAE4	unreviewed	A0A6J8CAE4_MYTCO	GPR89	MCOR_26762	Mytilus coruscus (Sea mussel)	725	A0A6J8CAE4;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Lophotrochozoa (clade), Mollusca (phylum), Bivalvia (class), Autobranchia (subclass), Pteriomorphia (clade), Mytilida (order), Mytiloidea (superfamily), Mytilidae (family), Mytilinae (subfamily), Mytilus (genus)	42192
